UnixTime(ms),SysUnixTime(ms),Event,Detail
1785638868361,1785638868361,experiment_start,"blocks=6,trials_per_block=320"
1785638870288,1785638870287,practice_start,
1785638870293,1785638870292,gabor_draw_start,block=0
1785638871258,1785638871257,tilt_onset,"block=0,trial=1,target=10"
1785638875282,1785638875282,tilt_onset,"block=0,trial=2,target=-10"
1785638876241,1785638876240,tilt_onset,"block=0,trial=3,target=-10"
1785638880585,1785638880585,tilt_onset,"block=0,trial=4,target=-10"
1785638883716,1785638883716,tilt_onset,"block=0,trial=5,target=10"
1785638885539,1785638885538,tilt_onset,"block=0,trial=6,target=-10"
1785638887647,1785638887646,tilt_onset,"block=0,trial=7,target=10"
1785638889177,1785638889177,tilt_onset,"block=0,trial=8,target=-10"
1785638890775,1785638890775,tilt_onset,"block=0,trial=9,target=10"
1785638893680,1785638893680,tilt_onset,"block=0,trial=10,target=10"
1785638895007,1785638895006,tilt_onset,"block=0,trial=11,target=10"
1785638897097,1785638897097,tilt_onset,"block=0,trial=12,target=10"
1785638898729,1785638898728,tilt_onset,"block=0,trial=13,target=10"
1785638902200,1785638902199,tilt_onset,"block=0,trial=14,target=10"
1785638903882,1785638903882,tilt_onset,"block=0,trial=15,target=-10"
1785638906122,1785638906121,tilt_onset,"block=0,trial=16,target=10"
1785638908727,1785638908727,tilt_onset,"block=0,trial=17,target=-10"
1785638909976,1785638909976,tilt_onset,"block=0,trial=18,target=10"
1785638913673,1785638913672,clock_check,"offset_ms=-1,drift_ms=-1"
1785638914194,1785638914194,tilt_onset,"block=0,trial=19,target=10"
1785638916104,1785638916103,tilt_onset,"block=0,trial=20,target=10"
1785638917581,1785638917581,tilt_onset,"block=0,trial=21,target=10"
1785638919304,1785638919303,tilt_onset,"block=0,trial=22,target=10"
1785638920797,1785638920797,tilt_onset,"block=0,trial=23,target=10"
1785638924027,1785638924027,tilt_onset,"block=0,trial=24,target=-10"
1785638925506,1785638925506,tilt_onset,"block=0,trial=25,target=-10"
1785638927699,1785638927698,tilt_onset,"block=0,trial=26,target=10"
1785638929382,1785638929382,tilt_onset,"block=0,trial=27,target=-10"
1785638934152,1785638934152,tilt_onset,"block=0,trial=28,target=-10"
1785638935876,1785638935875,tilt_onset,"block=0,trial=29,target=10"
1785638937444,1785638937444,tilt_onset,"block=0,trial=30,target=-10"
1785638938363,1785638938362,practice_end,0
1785638944060,1785638944059,block_start,1
1785638944068,1785638944068,gabor_draw_start,block=1
1785638946774,1785638946774,tilt_onset,"block=1,trial=1,target=-10"
1785638950063,1785638950063,abort,controller_closed
1785638950063,1785638950063,experiment_end,closed
