Trial,TiltOnset(ms),TiltOnsetSys(ms),KeyPress(ms),KeyPressSys(ms),RT(ms),ResponseType,Block,Phase,TargetAngle(deg),OnsetPosAngle(deg),OnsetPosX(px),OnsetPosY(px),PressPosAngle(deg),PressPosX(px),PressPosY(px)
1,1785638871258,1785638871257,1785638872570,1785638872569,1312,correct,0,practice,10,140.4606514577021,214.9149838363295,552.7859181721071,164.11065822878976,169.1698587694293,465.7072743269327
2,1785638875282,1785638875282,1785638875737,1785638875736,455,correct,0,practice,-10,212.9004092816462,198.49216373241632,269.63669257510884,221.09578949252267,219.1331922531371,242.24323198208157
3,1785638876241,1785638876240,1785638879515,1785638879514,3274,correct,0,practice,-10,230.1553173665156,246.2299221641081,215.7318172815943,289.1104045514216,478.57347767988335,173.22652578996616
4,1785638880585,1785638880585,1785638881231,1785638881231,646,correct,0,practice,-10,308.35676914492745,548.9335097299859,211.8011432566387,320.0110231045832,583.8803426818963,245.7663474620783
5,1785638883716,1785638883716,1785638884219,1785638884218,503,correct,0,practice,10,4.719623625670863,639.1862235232641,419.7471637629089,13.790026247893763,633.0821890870675,457.2074569473293
6,1785638885539,1785638885538,1785638886542,1785638886542,1003,correct,0,practice,-10,37.528545916472865,590.3319866991768,546.197588349276,55.59910303393502,535.595180924006,598.0251168669927
7,1785638887647,1785638887646,1785638888190,1785638888190,543,correct,0,practice,10,75.4741774205317,460.1959149123812,632.3283276483119,85.26425749102731,419.8144526632902,639.1806586362163
8,1785638889177,1785638889177,1785638889623,1785638889622,446,correct,0,practice,-10,103.00437933245797,345.99387316850954,633.8446883396349,111.05224233904977,313.787430433438,623.9807867847836
9,1785638890775,1785638890775,1785638891542,1785638891542,767,correct,0,practice,10,131.7749505643,240.11044285988314,578.9841599626551,145.6033301953425,201.96487974635224,535.58057068077
10,1785638893680,1785638893680,1785638894303,1785638894303,623,correct,0,practice,10,184.07198816577102,160.60585150368615,382.9576508155466,195.30659014025832,168.51350524171858,336.6438420946776
11,1785638895007,1785638895006,1785638895892,1785638895892,885,correct,0,practice,10,207.9446097020259,187.98375074278022,287.5317375838835,223.9105554226985,227.09839451247143,233.5517052660646
12,1785638897097,1785638897097,1785638897561,1785638897561,464,correct,0,practice,10,245.56893402377273,300.73644519768345,181.48971033837446,253.9661579732051,333.7107804325823,169.33630678162052
13,1785638898729,1785638898728,1785638900489,1785638900489,1760,correct,0,practice,10,274.94054752627517,420.6692807528272,160.89169643619482,306.6604371670833,543.297130505413,207.4748525804625
14,1785638902200,1785638902199,1785638903007,1785638903006,807,correct,0,practice,10,337.42348200122024,621.6082332378904,307.85993834829094,351.9709811810603,637.6473890048071,366.47808926690016
15,1785638903882,1785638903882,1785638905527,1785638905527,1645,correct,0,practice,-10,7.708179533874045,637.8313748262212,432.1906375871841,37.34179979602004,590.807481751042,545.5764572581218
16,1785638906122,1785638906121,1785638907188,1785638907188,1066,correct,0,practice,10,48.01597029009963,560.5416257274173,578.399513476909,67.23903614321853,492.8529814458569,621.310469333503
17,1785638908727,1785638908727,1785638909198,1785638909198,471,correct,0,practice,-10,94.91273409167434,379.4467934588099,639.1183090038803,103.41493326464797,344.3196556703147,633.4517064733683
18,1785638909976,1785638909976,1785638913523,1785638913522,3547,correct,0,practice,10,117.39698416033889,289.56326732771817,613.0815057124173,181.25576740542556,160.0576417302679,394.7402749159744
19,1785638914194,1785638914194,1785638914626,1785638914626,432,correct,0,practice,10,193.3251028660884,166.46128282661124,344.68573799635453,201.1228037480464,176.12555631207934,313.5116570662609
20,1785638916104,1785638916103,1785638916654,1785638916654,550,correct,0,practice,10,227.6914187077632,238.45041235741905,222.51273078749549,237.61640745440627,271.4596029268795,197.32448021459396
21,1785638917581,1785638917581,1785638918477,1785638918477,896,correct,0,practice,10,254.28911739627029,335.0120098882645,168.9663203313487,270.4439592961421,401.85963374212326,160.00720476992407
22,1785638919304,1785638919303,1785638919874,1785638919874,570,correct,0,practice,10,285.2889390591731,463.28484097557697,168.49399812813505,295.57582002917434,503.60922853103233,183.51644920871166
23,1785638920797,1785638920797,1785638921368,1785638921367,571,correct,0,practice,10,312.1656218175044,561.106234344478,222.11019912501408,322.46099144259597,590.305286745071,253.76765803394824
24,1785638924027,1785638924027,1785638924438,1785638924438,411,correct,0,practice,-10,10.314574301635275,636.1214858234804,442.97259513354953,17.738113463317404,628.5901662524117,473.1200102071573
25,1785638925506,1785638925506,1785638926447,1785638926446,941,correct,0,practice,-10,36.934425890838156,591.837701100061,544.216144854325,53.88970762530471,541.4419580263805,593.892167221019
26,1785638927699,1785638927698,1785638928255,1785638928255,556,correct,0,practice,10,76.40846592227126,456.3996388746345,633.2789761954789,86.43597084323073,414.91934473264683,639.5358285366689
27,1785638929382,1785638929382,1785638931782,1785638931782,2400,correct,0,practice,-10,106.70707660952712,331.0050835733614,629.868878944674,149.93386179248,192.29256107389352,520.2398428756364
28,1785638934152,1785638934152,1785638934912,1785638934912,760,correct,0,practice,-10,192.57032066622878,165.75288888218745,347.76695554575446,206.26541811267043,184.77911426158417,293.7927952445233
29,1785638935876,1785638935875,1785638936294,1785638936294,418,correct,0,practice,10,223.584797919189,226.15484555421492,234.53742938138205,231.1434646252742,249.4305997294254,213.1073685182867
30,1785638937444,1785638937444,1785638938363,1785638938362,919,correct,0,practice,-10,251.8263817433467,325.14460661981934,171.97221642550133,268.381859839355,393.2228513417862,160.09570604913202
