Trial,TiltOnset(ms),TiltOnsetSys(ms),KeyPress(ms),KeyPressSys(ms),RT(ms),ResponseType,Block,Phase,TargetAngle(deg),OnsetPosAngle(deg),OnsetPosX(px),OnsetPosY(px),PressPosAngle(deg),PressPosX(px),PressPosY(px)
1,1785636522178,1785636522175,1785636522806,1785636522803,628,correct,1,main,-10,10.242557144104637,636.1753131104117,442.67577154778786,21.55996856683413,623.2080304738965,488.19396312653197
2,1785636523729,1785636523727,1785636524190,1785636524187,461,correct,1,main,10,38.16934404367129,588.6850380307137,548.3170806864405,46.46520195001284,565.3107995149082,573.9894811870586
3,1785636526606,1785636526603,1785636527062,1785636527059,456,correct,1,main,-10,89.95065078729311,400.2067134732422,639.9999109781918,98.17115364068667,365.8886562395263,637.5634993572346
4,1785636527854,1785636527852,1785636528530,1785636528527,676,correct,1,main,-10,112.4181037902228,308.47300316242047,621.8621392890046,124.58135089868227,263.7818094912241,597.5970763308882
5,1785636529530,1785636529527,1785636529873,1785636529871,343,correct,1,main,10,142.57464752191225,209.40501074759138,545.8545510838597,148.77250728601138,194.77225781013712,524.4249727171003
6,1785636530678,1785636530676,1785636531193,1785636531190,515,correct,1,main,-10,163.25226888650582,170.1801346015289,469.15800364548284,172.51556739801094,162.0447306276647,431.2616342813256
7,1785636532253,1785636532251,1785636532342,1785636532339,89,correct,1,main,-10,191.59961757653878,164.9016179963516,351.7428680994548,193.212200260102,166.35273832576493,345.14603831871835
8,1785636532928,1785636532925,1785636534280,1785636534277,1352,correct,1,main,-10,203.7436729430549,180.3145724703495,303.36505326169686,228.09504518502877,239.70473933801415,221.37909022371986
9,1785636536030,1785636536027,1785636536559,1785636536556,529,correct,1,main,10,259.5711284636848,356.55646065073387,163.9647083828167,269.1118360518806,396.2798165470215,160.02883457574285
10,1785636537880,1785636537877,1785636538374,1785636538371,494,correct,1,main,-10,292.87353000634835,493.2875995664087,178.87238126561988,301.78411159509346,526.4128229833115,195.99069093448222
11,1785636539378,1785636539375,1785636539874,1785636539871,496,correct,1,main,10,319.84948453897164,583.4447691845531,245.2485326117196,328.7786270140998,605.2410307764301,275.5969482455175
12,1785636540705,1785636540702,1785636541422,1785636541419,717,correct,1,main,-10,343.7317963599555,630.3906161176177,332.7678350419644,356.64232406610176,639.5880075630108,385.94344878760603
13,1785636542254,1785636542251,1785636542823,1785636542820,569,correct,1,main,10,11.614534950196003,635.0858099397157,448.3183398409744,21.86264619821236,622.7390139766345,489.3718728276219
14,1785636543528,1785636543526,1785636544057,1785636544054,529,correct,1,main,-10,34.55074367517159,597.6698154585579,536.1126153469238,44.081052875458454,572.4055335261344,566.9620675769469
15,1785636545454,1785636545452,1785636545993,1785636545991,539,correct,1,main,-10,69.21836814874337,485.15374081154846,624.3854728492904,78.92680177682564,446.0951001116083,635.531827457991
16,1785636546829,1785636546826,1785636547573,1785636547570,744,correct,1,main,-10,93.96254882806466,383.41494282900544,639.4262639700057,107.3686157225959,328.35566710797116,629.0569570313378
17,1785636549303,1785636549301,1785636549900,1785636549897,597,correct,1,main,-10,138.5010028838508,220.24784345745962,559.0256652817591,149.24618539804146,193.75063142776395,522.7240724697234
18,1785636551204,1785636551201,1785636551676,1785636551673,472,correct,1,main,-10,172.71083221429512,161.93957261937305,430.4504994269921,181.22002229684517,160.0544070410638,394.88996872959586
19,1785636553429,1785636553426,1785636554210,1785636554208,781,correct,1,main,10,212.75412712091133,198.15998958607756,270.1515876257716,226.8413291930549,235.8349358603855,224.92906661573926
20,1785636555354,1785636555352,1785636555874,1785636555871,520,correct,1,main,10,247.4187046050422,307.84146068758946,178.39945028993526,256.78508148187325,345.13495355798807,166.35534100066428
21,1785636557354,1785636557351,1785636557839,1785636557836,485,correct,1,main,10,283.413700675904,455.6753221328271,166.54709574433232,292.1516467093818,490.49422908089093,177.7146102348262
22,1785636558605,1785636558602,1785636559481,1785636559479,876,correct,1,main,-10,305.93303403848336,540.841429834167,205.6711765016126,321.71460256570504,588.3842328867217,251.30103968190838
23,1785636562404,1785636562402,1785636562962,1785636562960,558,correct,1,main,10,14.318463420807575,632.5446607083558,459.3547030658541,24.373854732453083,618.6092978108526,499.0453174594637
24,1785636564430,1785636564427,1785636565009,1785636565006,579,correct,1,main,10,50.77504405969307,551.7680272241241,585.9205903403318,61.20587596887276,515.5993124640975,610.3254596044615
25,1785636566379,1785636566376,1785636566526,1785636566523,147,correct,1,main,-10,85.86572799676583,417.3025743963078,639.375481031914,88.52364692681954,406.18344898885505,639.9203304403406
26,1785636567703,1785636567701,1785636568237,1785636568234,534,correct,1,main,-10,109.7023092269294,319.0880313246728,625.949669893724,119.30915365213082,282.5147755640764,609.2778584543541
27,1785636569404,1785636569402,1785636570146,1785636570143,742,correct,1,main,-10,140.32083234780953,215.28837862479355,553.2371264705207,153.6792117118232,184.88185252362905,506.4151428431796
28,1785636571230,1785636571227,1785636571923,1785636571920,693,correct,1,main,10,173.1776224135749,161.69939482780273,428.5100258604679,185.65988502496407,161.17003272625942,376.3304682761993
