UnixTime(ms),SysUnixTime(ms),Event,Detail
1785634588101,1785634588101,clock_check,"offset_ms=0,drift_ms=0"
1785634645133,1785634645133,experiment_start,"blocks=6,trials_per_block=320"
1785634648102,1785634648102,clock_check,"offset_ms=0,drift_ms=0"
1785634650306,1785634650306,practice_start,
1785634650309,1785634650309,gabor_draw_start,block=0
1785634651602,1785634651602,tilt_onset,"block=0,trial=1,target=10"
1785634653305,1785634653305,tilt_onset,"block=0,trial=2,target=-10"
1785634656604,1785634656604,tilt_onset,"block=0,trial=3,target=-10"
1785634659178,1785634659179,tilt_onset,"block=0,trial=4,target=-10"
1785634664002,1785634664002,tilt_onset,"block=0,trial=5,target=10"
1785634665603,1785634665603,tilt_onset,"block=0,trial=6,target=10"
1785634666704,1785634666704,tilt_onset,"block=0,trial=7,target=10"
1785634669253,1785634669253,tilt_onset,"block=0,trial=8,target=10"
1785634670403,1785634670403,tilt_onset,"block=0,trial=9,target=10"
1785634671604,1785634671604,tilt_onset,"block=0,trial=10,target=10"
1785634673478,1785634673478,tilt_onset,"block=0,trial=11,target=-10"
1785634675604,1785634675604,tilt_onset,"block=0,trial=12,target=-10"
1785634677531,1785634677531,tilt_onset,"block=0,trial=13,target=10"
1785634679828,1785634679828,tilt_onset,"block=0,trial=14,target=-10"
1785634681528,1785634681528,tilt_onset,"block=0,trial=15,target=10"
1785634684603,1785634684603,tilt_onset,"block=0,trial=16,target=10"
1785634686604,1785634686604,tilt_onset,"block=0,trial=17,target=-10"
1785634688153,1785634688153,tilt_onset,"block=0,trial=18,target=-10"
1785634689254,1785634689254,tilt_onset,"block=0,trial=19,target=10"
1785634690752,1785634690752,tilt_onset,"block=0,trial=20,target=-10"
1785634691804,1785634691804,tilt_onset,"block=0,trial=21,target=10"
1785634693604,1785634693604,tilt_onset,"block=0,trial=22,target=-10"
1785634696754,1785634696754,tilt_onset,"block=0,trial=23,target=10"
1785634699228,1785634699228,tilt_onset,"block=0,trial=24,target=10"
1785634700953,1785634700953,tilt_onset,"block=0,trial=25,target=-10"
1785634702877,1785634702877,tilt_onset,"block=0,trial=26,target=10"
1785634705603,1785634705603,tilt_onset,"block=0,trial=27,target=-10"
1785634708154,1785634708154,tilt_onset,"block=0,trial=28,target=10"
1785634709101,1785634709101,clock_check,"offset_ms=0,drift_ms=0"
1785634709804,1785634709804,tilt_onset,"block=0,trial=29,target=10"
1785634710952,1785634710952,tilt_onset,"block=0,trial=30,target=10"
1785634711556,1785634711556,practice_end,0
1785634769102,1785634769102,clock_check,"offset_ms=0,drift_ms=0"
1785634830102,1785634830102,clock_check,"offset_ms=0,drift_ms=0"
1785634891101,1785634891101,clock_check,"offset_ms=0,drift_ms=0"
1785634951102,1785634951102,clock_check,"offset_ms=0,drift_ms=0"
1785635012102,1785635012102,clock_check,"offset_ms=0,drift_ms=0"
1785635073102,1785635073102,clock_check,"offset_ms=0,drift_ms=0"
1785635133103,1785635133103,clock_check,"offset_ms=0,drift_ms=0"
1785635194103,1785635194103,clock_check,"offset_ms=0,drift_ms=0"
1785635255101,1785635255101,clock_check,"offset_ms=0,drift_ms=0"
1785635315102,1785635315103,clock_check,"offset_ms=1,drift_ms=1"
1785635375102,1785635375102,clock_check,"offset_ms=0,drift_ms=0"
1785635436102,1785635436102,clock_check,"offset_ms=0,drift_ms=0"
1785635496102,1785635496101,clock_check,"offset_ms=-1,drift_ms=-1"
1785635556103,1785635556101,clock_check,"offset_ms=-2,drift_ms=-2"
1785635616103,1785635616101,clock_check,"offset_ms=-2,drift_ms=-2"
1785635677103,1785635677100,clock_check,"offset_ms=-3,drift_ms=-3"
1785635738103,1785635738101,clock_check,"offset_ms=-2,drift_ms=-2"
1785635798103,1785635798100,clock_check,"offset_ms=-3,drift_ms=-3"
1785635859102,1785635859100,clock_check,"offset_ms=-2,drift_ms=-2"
1785635919102,1785635919100,clock_check,"offset_ms=-2,drift_ms=-2"
1785635979102,1785635979100,clock_check,"offset_ms=-2,drift_ms=-2"
1785636040101,1785636040098,clock_check,"offset_ms=-3,drift_ms=-3"
