Trial,TiltOnset(ms),TiltOnsetSys(ms),KeyPress(ms),KeyPressSys(ms),RT(ms),ResponseType,Block,Phase,TargetAngle(deg),OnsetPosAngle(deg),OnsetPosX(px),OnsetPosY(px),PressPosAngle(deg),PressPosX(px),PressPosY(px)
1,1785634651602,1785634651602,1785634652221,1785634652221,619,correct,0,practice,10,210.9074196713437,194.08038493095924,276.72343235708547,222.0578431981076,221.80745842393557,239.2286775365005
2,1785634653305,1785634653305,1785634653893,1785634653893,588,correct,0,practice,-10,241.54849480562103,285.66045666922867,188.9870410829926,252.1457567112912,326.4168228241089,171.5585063157277
3,1785634656604,1785634656604,1785634658332,1785634658332,1728,correct,0,practice,-10,300.9311947720517,523.3620041513353,194.13155673642956,332.046656121539,611.9991021166242,287.4994191048546
4,1785634659178,1785634659179,1785634662985,1785634662985,3807,correct,0,practice,-10,347.27693842821014,634.1070344201705,347.1426785109852,55.80828427247894,534.8713086858364,598.5188406508809
5,1785634664002,1785634664002,1785634664676,1785634664676,674,correct,0,practice,10,74.10798357896698,465.7180497400499,630.8270736685026,86.23545645646942,415.7575399275054,639.4821495131382
6,1785634665603,1785634665603,1785634665908,1785634665908,305,correct,0,practice,10,102.9217748539914,346.3310677726795,633.9223070029434,108.41229962282074,324.1953462744599,627.7139751388811
7,1785634666704,1785634666704,1785634667201,1785634667201,497,correct,0,practice,10,122.72918032579315,270.2394818209835,601.896527760913,131.68571566514862,240.389394254317,579.2329616267504
8,1785634669253,1785634669253,1785634669756,1785634669756,503,correct,0,practice,10,168.62533854417688,164.71396217341908,447.3337131848825,177.69107626848108,160.19484819301752,409.66897961679996
9,1785634670403,1785634670403,1785634670776,1785634670776,373,correct,0,practice,10,189.3168859379757,163.1660688532169,361.14528268587196,196.03220604829676,169.33441410555704,333.71736664877176
10,1785634671604,1785634671604,1785634672089,1785634672089,485,correct,0,practice,10,210.9396319287289,194.14972478388432,276.6076817891428,219.67161272935755,215.26817464695824,246.78723061789762
11,1785634673478,1785634673478,1785634673907,1785634673907,429,correct,0,practice,-10,244.6680240529049,297.3130354664546,183.0774624090747,252.39894865922815,327.42702852727047,171.23557135861708
12,1785634675604,1785634675604,1785634676101,1785634676101,497,correct,0,practice,-10,282.9339971440304,453.71883112600466,166.08914693316217,291.8942446606625,489.4946991745974,177.3103082321763
13,1785634677531,1785634677531,1785634678033,1785634678033,502,correct,0,practice,10,317.61953877382166,577.2844589301808,238.22787439786472,326.66944073610193,600.5234597955896,268.12755378166906
14,1785634679828,1785634679828,1785634680401,1785634680401,573,correct,0,practice,-10,358.9689106839169,639.9611387438852,395.6812162895186,9.2953252690304,636.8485355892474,438.7655928527995
15,1785634681528,1785634681528,1785634682665,1785634682665,1137,correct,0,practice,10,29.5675682919491,608.7458514625606,518.4279084387231,50.04360770158655,554.1290532872695,583.9680269306872
16,1785634684603,1785634684603,1785634685172,1785634685172,569,correct,0,practice,10,84.92262457780726,421.2402351638783,639.0582615392807,95.16313551835901,378.4019673026427,639.026201458342
17,1785634686604,1785634686604,1785634687070,1785634687070,466,correct,0,practice,-10,120.93540905885584,276.62285390364,605.8593690389569,129.33964108400232,247.86013220026794,585.6164341481649
18,1785634688153,1785634688153,1785634688582,1785634688582,429,correct,0,practice,-10,148.80989073686487,194.69111864649406,524.29104246635,156.55118369035608,179.82017908012094,495.50312277454594
19,1785634689254,1785634689254,1785634689683,1785634689683,429,correct,0,practice,10,168.63131665162928,164.7090247653487,447.3091637331152,176.36745118074305,160.48218469711477,415.20579338715834
20,1785634690752,1785634690752,1785634691103,1785634691103,351,correct,0,practice,-10,195.60377787523157,168.84524005373575,335.44400140819636,201.9260191815365,177.3599735494963,310.3818175696527
21,1785634691804,1785634691804,1785634692267,1785634692267,463,correct,0,practice,10,214.53404950075037,202.2905340299988,263.94498514991466,222.8799724476803,224.13260853193822,236.68845534310958
22,1785634693604,1785634693604,1785634695617,1785634695617,2013,correct,0,practice,-10,246.93678234987146,305.9808315692146,179.18243736608355,283.1805972950924,454.7250791699497,166.3225177518323
23,1785634696754,1785634696754,1785634697318,1785634697318,564,correct,0,practice,10,303.6334624188412,532.9306972760698,200.17650357953923,313.7896017926205,566.0829220705209,226.74740118394396
24,1785634699228,1785634699228,1785634699840,1785634699840,612,correct,0,practice,10,348.16970633439905,634.9021911839183,350.79674221157785,359.1915426152218,639.9761085207322,396.61365399792743
25,1785634700953,1785634700953,1785634701541,1785634701541,588,correct,0,practice,-10,19.21675204210169,626.6272423373531,478.99425947856355,29.814898003863163,608.2326883010018,519.3278991809453
26,1785634702877,1785634702877,1785634703770,1785634703770,893,correct,0,practice,10,53.84752081804163,541.5846822213807,593.7879711444202,69.93027781419642,482.3592122966,625.4261745003973
27,1785634705603,1785634705603,1785634706236,1785634706236,633,correct,0,practice,-10,102.9218950169552,346.33057718172876,633.922194445832,114.32430886201746,301.1437594402198,618.6948643713127
28,1785634708154,1785634708154,1785634708700,1785634708700,546,correct,0,practice,10,148.82849024705774,194.6507817721042,524.2243879968504,158.67849301271326,176.42684580229388,487.26422360904104
29,1785634709804,1785634709804,1785634710281,1785634710281,477,correct,0,practice,10,178.53193377427942,160.07877773969327,406.1487485816622,187.13462351732142,161.85830439351315,370.19173246115514
30,1785634710952,1785634710952,1785634711556,1785634711556,604,correct,0,practice,10,199.20225953035242,173.3527839429425,321.0630666064009,210.08865069322474,192.3398213841516,279.6785546245644
